path,theta,gamma,vega,delta_mismatch,residual,costs,total_pnl
0,2.407035104975462,-1.8043583712932745,0.0,0.0,0.011393908189013015,0.0,0.6140706418711375
1,3.1054656679171067,-3.08271514688938,0.0,0.0,-0.02537988393417792,0.0,-0.002629362906432675
2,3.8268680138412847,-4.041835891139285,0.0,0.0,-0.12494690718554606,0.0,-0.3399147844834829
3,1.7715572099447192,-1.9303524942668582,0.0,0.0,0.07010385537141249,0.0,-0.0886914289506393
4,3.026037036758418,-3.000772658243042,0.0,0.0,0.07608465880932157,0.0,0.10134903732469525
5,3.4618984825896626,-3.0822883049164065,0.0,0.0,-0.008228968665482816,0.0,0.3713812090077937
6,3.061065169853524,-3.138395369301619,0.0,0.0,-0.08514424505819422,0.0,-0.16247444450627313
7,2.4742053587897566,-2.8632072231266292,0.0,0.0,0.04851507164871425,0.0,-0.34048679268816784
8,1.9578458119689406,-2.126652060282671,0.0,0.0,-0.08854067501397635,0.0,-0.25734692332768816
9,0.599493206499073,-0.884978734955312,0.0,0.0,0.1329366449120172,0.0,-0.15254888354432694
10,0.8197142142771813,-1.0001020328382277,0.0,0.0,0.11874167082134203,0.0,-0.06164614773972232
11,1.007180660794209,-1.217750760950503,0.0,0.0,0.10984818224531882,0.0,-0.10072191791097396
12,3.1467429097752047,-2.744895919817074,0.0,0.0,0.08883048557181887,0.0,0.49067747552994945
13,2.7788565823257896,-3.308745552932226,0.0,0.0,0.03774871598619495,0.0,-0.49214025462021027
14,1.6239607940627916,-1.8965464741275075,0.0,0.0,0.1431528555804109,0.0,-0.12943282448439675
15,1.263616636159561,-1.2525542385897084,0.0,0.0,-0.11785127803649514,0.0,-0.10678888046679447
16,2.8707033389470804,-2.8287588638328294,0.0,0.0,-0.025737835034633387,0.0,0.016206640079616363
17,2.5631665349396795,-3.2918014253778876,0.0,0.0,0.0644349990233387,0.0,-0.6641998914148672
18,1.9284104145824275,-1.5299594940058647,0.0,0.0,-0.05982932308978747,0.0,0.33862159748684917
19,2.447849191946331,-2.170378259472781,0.0,0.0,-0.06865342370132907,0.0,0.2088175087721993
20,3.11037753943351,-2.852391154048822,0.0,0.0,0.046750020170173656,0.0,0.3047364055548556
21,1.2874650426336653,-1.1808506049954641,0.0,0.0,-0.10480600860200037,0.0,0.001808429036174175
22,3.609098687810095,-3.5466165741059514,0.0,0.0,-0.00962610739650858,0.0,0.05285600630764975
23,0.6594285934950157,-0.9005021127009146,0.0,0.0,0.12426435182243735,0.0,-0.11680916738342262
24,3.8577503049760042,-4.057329809171776,0.0,0.0,-0.07356282512654576,0.0,-0.27314232932234006
25,0.8395636028250908,-0.7985422326905774,0.0,0.0,-0.12926123899606046,0.0,-0.08823986886154955
26,2.2955025665451387,-2.2261933704697348,0.0,0.0,0.07451677842853156,0.0,0.1438259745039545
27,3.4359050023461553,-3.5466392485432086,0.0,0.0,0.02240466653231879,0.0,-0.08832957966475874
28,2.1346461729084294,-2.394604248433116,0.0,0.0,0.05077601573812925,0.0,-0.20918205978651372
29,2.4486342573989144,-2.2609728922630743,0.0,0.0,0.04481823493268918,0.0,0.23247960006852963
30,3.669842575902866,-3.859883942069983,0.0,0.0,-0.03524083635315907,0.0,-0.2252822025202903
31,1.3838972907447094,-1.3505352757862028,0.0,0.0,-0.10132423784854586,0.0,-0.06796222289001719
32,2.8718698759973704,-2.4115657798930843,0.0,0.0,0.01263816962364542,0.0,0.4729422657279798
33,2.0041863598581116,-1.8041233157383398,0.0,0.0,-0.13515640787610153,0.0,0.06490663624366277
34,1.4526794606618396,-1.7062995830509984,0.0,0.0,-0.10707022276340165,0.0,-0.36069034515253406
35,1.0997042335286236,-1.0797524726023955,0.0,0.0,-0.16149693143271607,0.0,-0.14154517050650384
36,3.8373596681119726,-4.05459183549722,0.0,0.0,0.0978216886016516,0.0,-0.11941047878356237
