t,S,T_rem,option_value,hedge_shares,cash,step_pnl,theta_pnl,gamma_pnl,delta_mismatch_pnl,residual_pnl
37,100.03834399873692,0.06498015873015872,4.067720416176698,0.2392810646942174,-20.035917906204048,-0.10547519358998043,0.015157079273828542,-0.11787542482685054,-0.0,-0.0027568480369584425
38,100.49597687203439,0.06448412698412698,4.089819878831008,0.0466512268936381,-0.7655555226479793,-0.0007579224073015799,0.01551132602140658,-0.016353640138403024,0.0,8.439170969486414e-05
39,100.06880296169646,0.06398809523809523,4.038064010372558,0.11781778080745764,-7.917586425928341,0.0013486392288273058,0.01556870443610833,-0.014107333852913325,-0.0,-0.00011273135436769863
40,99.32926458550416,0.06349206349206349,4.02797607186163,0.051178436117329085,-1.2490793642341862,-0.02777287063023584,0.0156351710028443,-0.04300892353799542,-0.0,-0.0003991180950847252
41,99.453132663245,0.06299603174603174,4.005448056061617,-0.06626616679720654,10.416710012667705,0.014423092964098832,0.015442426746859432,-0.0012185985499579184,0.0,0.0001992647671973189
42,99.76544297435606,0.0625,3.9827978918393256,-0.0470821143003356,8.508880307754142,0.008030347533786357,0.015568858764796507,-0.007780735662320488,0.0,0.00024222443131033822
43,99.56946983253647,0.06200396825396825,3.969681345704039,0.002420372473086241,3.5702782057224622,0.012677637388314773,0.015756721028824205,-0.0030715036696863447,-0.0,-7.579970823087465e-06
44,99.09468211344276,0.061507936507936505,3.9862511466556256,-0.02938360162842857,6.737049881058798,-0.0025519922748809213,0.015746671892803463,-0.018123766330761324,-0.0,-0.00017489783692306062
45,99.10768916484703,0.06101190476190476,3.9693119580258553,-0.10639779142963535,14.368889085429476,0.015697814883090595,0.015528774973542278,-1.3609351714323576e-05,0.0,0.00018264926126264
46,99.08588051604221,0.06051587301587301,3.9560273021582546,-0.10504334772194535,14.234794516955539,0.01571672684643812,0.015599490972188178,-3.841823148529212e-05,-0.0,0.0001556541057352364
47,99.70969030331544,0.060019841269841265,3.903422706805337,-0.10932591816803472,14.659282209143905,-0.01544855373731425,0.015644813720700354,-0.031545359547791876,0.0,0.00045199208977727244
48,100.04368770114566,0.05952380952380952,3.8935896285146185,-0.00824814338794233,4.580894034424527,0.007123665014117503,0.01606017653868511,-0.009108738661522021,0.0,0.00017222713695441445
49,100.13158510395188,0.059027777777777776,3.882015065516704,0.046049336985122036,-0.8512345797230186,0.015613735374246656,0.01620911910605117,-0.0006303372841848985,0.0,3.495355238038525e-05
50,100.63012447044348,0.05853174603174603,3.9160256813590593,0.060305193272375934,-2.2787186730037967,-0.003968709216098713,0.01628622509665147,-0.020320614957348056,0.0,6.56806445978736e-05
51,100.53953863489521,0.05803571428571428,3.8875148881335946,0.14143798712594347,-10.44322542003601,0.015594912070515133,0.016304992937945285,-0.0006617302112985293,-0.0,-4.835065613162208e-05
52,100.12722885212588,0.057539682539682536,3.832583809740356,0.12700969501568204,-8.992700800839899,0.002474525772654175,0.016395691089231248,-0.013822718241030155,-0.0,-9.844707554691745e-05
53,100.38955312270564,0.05704365079365079,3.837317273238888,0.059369878398756404,-2.2201354279649617,0.010818671503026985,0.016495499389582245,-0.005699235250004732,0.0,2.2407363449472237e-05
54,100.65188322959735,0.05654761904761904,3.853392496463549,0.10276966313073399,-6.577085671371948,0.010819104947516941,0.016561543045974552,-0.005677558246217959,0.0,-6.487985223965244e-05
55,100.55710946760172,0.0560515873015873,3.823640511082047,0.1461289904012555,-10.941392161737113,0.015794246205811827,0.01657785392764259,-0.0007359714869429093,-0.0,-4.76362348878559e-05
56,100.20857801515544,0.05555555555555555,3.771385508996076,0.1308046013134534,-9.40050914926762,0.006572225846792314,0.016676178459799743,-0.010040800000542895,-0.0,-6.31526124645343e-05
57,100.31240913395602,0.05505952380952381,3.7630219760942794,0.0727779229592802,-3.585773797429423,0.015884573090343072,0.01679127040877972,-0.0009066816247738588,0.0,-1.569366278597606e-08
58,99.20571270773166,0.054563492063492064,3.7505493122295093,0.09028307286296466,-5.341810550408467,-0.08749628411064472,0.016863600698109132,-0.10312738314039137,-0.0,-0.0012325016683624873
59,99.51262707778474,0.05406746031746031,3.7115355078667847,-0.09866872849529318,13.403420540529538,0.008863923494948979,0.016545734798973213,-0.008046165995131577,0.0,0.00036435469110734225
60,99.73215580185047,0.05357142857142857,3.688465274213087,-0.04669098552926576,8.231060445346944,0.012901878115729024,0.016825981927940787,-0.004147363950527684,0.0,0.00022326013831592065
61,99.00823035605409,0.053075396825396824,3.723907467154305,-0.00929321582024245,4.501344906062864,-0.028669941557711045,0.017006737225865105,-0.045283133804403346,-0.0,-0.0003935449791728045
62,99.0367657885767,0.05257936507936507,3.7034612488053185,-0.1351816230867906,16.965501639579166,0.01675705997824462,0.016594392952916023,-7.018389970167633e-05,0.0,0.00023285092503027086
63,98.61383759915508,0.05208333333333333,3.7581235695365507,-0.13120869011678182,16.572199613461382,0.0009939389429298579,0.016696481194485628,-0.015498279072475573,-0.0,-0.0002042631790801976
64,98.94848924704075,0.051587301587301584,3.6823501097095317,-0.2052703748409792,23.875943426516404,0.0073162539675728205,0.016294424419645064,-0.009595772932374413,0.0,0.0006176024803021696
65,98.05743553148542,0.05109126984126984,3.8675429413958042,-0.14855836491475238,18.264556917255454,-0.05263815354978321,0.016759892499364992,-0.06924543442201156,-0.0,-0.0001526116271366451
66,97.66026600011955,0.050595238095238096,3.985835992350335,-0.3025229515098261,33.362260414597664,0.0021908210880106174,0.015587360804467348,-0.01316330562641145,-0.0,-0.0002332340900452804
67,97.97088902707758,0.050099206349206345,3.863357138335047,-0.36968819563264277,39.92203207153584,0.008041237598156113,0.014906569224458056,-0.007803241565382337,0.0,0.000937909939080394
68,98.47830640937994,0.0496031746031746,3.706081012531854,-0.3205177376988524,35.10510685711535,-0.005011882419957587,0.015556193034627028,-0.021504494657271653,0.0,0.0009364192026870373
69,97.53766834663328,0.049107142857142856,3.98816964828438,-0.23559529520369416,26.74235384385764,-0.060213433866469185,0.016464413610807766,-0.07693526503430717,-0.0,0.0002574175570302234
70,97.3229744031589,0.048611111111111105,4.062451402490311,-0.39568905006539046,42.35794562555511,0.011090503972370732,0.014808826354878643,-0.003719303547065003,-0.0,9.811645570925037e-07
71,97.46672903932902,0.04811507936507936,3.9872348068548575,-0.43218370050572186,45.91016901197841,0.013543640777291758,0.014382327600352159,-0.001631828993834274,0.0,0.0007931421707738726
72,97.20404207521642,0.047619047619047616,4.086664536051973,-0.41150296996558766,43.89492131541697,0.00910220003566011,0.014754265482662942,-0.005561624317487409,-0.0,-9.044112951542282e-05
73,97.89666185109168,0.04712301587301587,3.794007624278329,-0.4555631461843158,48.178226494649024,-0.022397176208210388,0.014191437801040305,-0.037542224750926896,0.0,0.0009536107416762037
74,97.38003274339256,0.04662698412698413,3.9796250147890433,-0.3445595410125648,37.311714248957266,-0.007237748228936955,0.01578487606679712,-0.022678654049134755,-0.0,-0.0003439702465993198
75,97.53538924422134,0.04613095238095238,3.8993186272319704,-0.4323831430568801,45.86443449372886,0.013587857487899622,0.014701499434757992,-0.001944515112195076,0.0,0.0008308731653367055
76,97.08240853615362,0.04563492063492063,4.087333848659757,-0.40941033340113075,43.62420533959009,-0.002127461045349462,0.015116506695743673,-0.016905707677887866,-0.0,-0.0003382600632052682
77,97.69376390707019,0.04513888888888889,3.8054887917971527,-0.48451288695012273,50.91584724036829,-0.013859383826040093,0.01405098622295882,-0.029096715307152986,0.0,0.0011863452581540729
78,97.68579620288087,0.04464285714285714,3.7929771152569884,-0.38757343841090697,41.44587880888966,0.016010914442161878,0.01559357113149485,-5.3662630028680555e-06,-0.0,0.00042270957366989485
79,97.52540536227104,0.04414682539682539,3.8426109193660807,-0.3912223862653206,41.802743893054604,0.013529390993136992,0.015634946652989628,-0.0021809622803225823,-0.0,7.540662046994634e-05
80,96.78329322866603,0.04365079365079365,4.185850190871381,-0.42060112396272253,44.66836033232282,-0.03066293770739996,0.015309574955879871,-0.04597718514027702,-0.0,4.6724769971924485e-06
81,97.51251376970491,0.043154761904761904,3.817381568207672,-0.5411132111051816,56.332475850985,-0.025563394746696055,0.01337450198814353,-0.03987241599217314,0.0,0.000934519257333552
82,97.84149188127239,0.04265873015873016,3.6696542185891126,-0.4277456656638632,45.278170701074075,0.007457574270573438,0.015387846674157917,-0.009086270367562089,0.0,0.0011559979639776093
83,98.17192324784827,0.04216269841269841,3.5388270968759485,-0.37370926380469593,39.99156526702814,0.007738598723068824,0.016253287675191574,-0.00957248406586642,0.0,0.0010577951137436701
