start_date,end_date,S0,K,premium,iv_proxy,realized_vol_window,hedged_pnl,pnl_over_premium,theta,gamma,delta_mismatch,residual,costs,variance_risk_premium
2020-02-03,2020-03-04,295.4416198730469,295.4416198730469,8.198299363257263,0.12044472288569454,0.33975604497375184,-8.516613311824585,-1.0388268266945613,2.122733317347007,-10.342383011492617,0.0,-0.20740731357457018,0.0895563041044251,-0.10092723882519433
2020-02-04,2020-03-05,299.944580078125,299.944580078125,8.852508579066779,0.12812144014847165,0.35133877635506744,-6.2579542728076945,-0.7069130989159008,2.828158396156884,-9.506857338914957,0.0,0.5020446493189082,0.08129997936854755,-0.10702383234495769
2020-02-05,2020-03-06,303.4083251953125,303.4083251953125,9.290046050485557,0.13292908589032507,0.3492218813476767,-4.220594947164557,-0.4543136733906676,2.9862573232504968,-8.213068545093027,0.0,1.0743887652547057,0.06817249057672864,-0.10428578053637336
2020-02-06,2020-03-09,304.4292297363281,304.4292297363281,9.271496955081574,0.13221735195070938,0.43519498166469495,-3.965045352627669,-0.4276596726329598,2.677040182438005,-7.765871981285379,0.0,1.1871390998712037,0.06335265365159898,-0.17191324390927643
2020-02-07,2020-03-10,302.80670166015625,302.80670166015625,9.320001418736013,0.1336240603858528,0.4821148793532409,-4.6990439955715715,-0.5041891931609663,2.3623945651090503,-8.056025609788273,0.0,1.0561623970613727,0.061575347953676605,-0.21457936737978797
2020-02-10,2020-03-11,305.0672912597656,305.0672912597656,9.41633449100155,0.1340055717349353,0.501492285433644,-3.822426788284247,-0.40593574834634855,2.11320581365604,-7.098644666389275,0.0,1.215192316985211,0.05218025253634184,-0.23353701909345256
2020-02-11,2020-03-12,305.5959167480469,305.5959167480469,9.376372163278887,0.13320445030962225,0.5900997283296159,-3.876682561716791,-0.4134522920175054,1.7996149254392202,-6.882620076487748,0.0,1.2560349409640357,0.0497123516322982,-0.3304742637923978
2020-02-12,2020-03-13,307.56488037109375,307.56488037109375,9.421564818964242,0.13298918827925155,0.6755441627108488,-3.2774129492452744,-0.34786290942331766,1.462981269284164,-6.002539500738132,0.0,1.3033980460535664,0.04125276384483308,-0.4386737915735276
2020-02-13,2020-03-16,307.23663330078125,307.23663330078125,9.403347070427003,0.13287361453232327,0.7658912300617566,-3.662995650760024,-0.3895416837564083,1.194982347448194,-6.1308480872598645,0.0,1.3139795575106201,0.041109468458859724,-0.5689339788466262
2020-02-14,2020-03-17,307.72900390625,307.72900390625,9.415919821207126,0.13283831853526415,0.8004093102873676,-3.7545329020910003,-0.39874308335068925,0.9090750955813226,-5.952925310004987,0.0,1.3283243530494493,0.03900704071682009,-0.6230090451234233
2020-02-18,2020-03-18,306.9359436035156,306.9359436035156,9.262491948890158,0.13100771931324182,0.8099294412535565,-4.296299063219408,-0.4638383587188105,0.6533903488965517,-6.28135774847254,0.0,1.3707761779413559,0.03910784158463167,-0.638822677289641
2020-02-19,2020-03-19,308.4034423828125,308.4034423828125,9.341501346061477,0.13149752581673324,0.8091206035475773,-3.981061071493855,-0.4261692980617438,0.3582632712393526,-5.668088831278974,0.0,1.3617725295865686,0.03300804104079134,-0.6373845517892733
2020-02-20,2020-03-20,307.136474609375,307.136474609375,9.35977832979836,0.1322999442252152,0.8133882838270838,-4.641856133938461,-0.49593654575775215,0.16304988022602263,-6.182006886804355,0.0,1.4104693903438776,0.0333685177039905,-0.6440972250251736
2020-02-21,2020-03-23,303.9734802246094,303.9734802246094,9.650551181762722,0.13784045838832237,0.8132925626626856,-5.9166691896884345,-0.6130913227909253,0.09779855060818118,-7.467644195817739,0.0,1.4890400117949538,0.03586355627372405,-0.6424448005137355
2020-02-24,2020-03-24,293.89208984375,293.89208984375,12.26469227090422,0.18126353769342082,0.889122819190953,-11.376595123719824,-0.9275891210665557,1.2758400181098244,-14.399886753477356,0.0,1.8166717159591812,0.06922010431136653,-0.7576829175089339
2020-02-25,2020-03-25,284.9866027832031,284.9866027832031,13.563876064787337,0.20676019383695549,0.8917802276479173,-17.713312119782074,-1.3059181634493793,2.3954017669686194,-23.648069220784887,0.0,3.632902455990572,0.09354712195627408,-0.7525221966682758
